Id,Nome,Marca,Tipo Produto,Imagem Principal
1,BT Skin,Bruna Tavares,Base ,bruna_tavares_bt_skin_f10
2,Base Protetor Stick Glam Skin Protect,Eudora,Base ,
3,Niina Secrets Hidra Glow,Eudora,Base ,
4,Niina Secrets Daily Tint Cream,Eudora,Base ,
5,Base Soul Ultra Matte,Eudora,Base ,
6,Base Sérum Glam Nano Lifting,Eudora,Base ,
7,Glam Skin Perfection,Eudora,Base ,
8,Glam Skin Control,Eudora,Base ,
9,Cover up,Mari Maria ,Base ,
10,Satin,MAC,Batom,
11,Powder Kiss,MAC,Batom,
12,Ultramatte,Avon,Batom,
13,Bala,Bauny,Batom,
14,Matte,MAC,Batom,
15,Bt Lux,Bruna Tavares,Batom,
16,CC Hidratante ,Natura,Batom,
17,Perfect Shine,Essence,Batom,
18,Amplified,MAC,Batom,
19,Extremo Conforto,Natura,Batom,
20,Mattefix,Jequiti,Batom,
21,Retro Matte,MAC,Batom,
22,Cremesheen,MAC,Batom,
23,Utra 8 em 1,Avon,Batom,
24,Lip Oil Soft Pinch Tinted,Rare Beauty,Batom,
25,Gel Lip Stain Una,Natura,Batom,
26,Superstay Matte Ink,Maybelline,Batom,
27,Niina Secrets Skinny Matte,Eudora,Batom,
28,Gloss Bomb,Fenty Beauty ,Batom,
29,Niins Secrets Gloss Crystal,Eudora,Batom,
30,Intense,Boticário,Batom,
31,Microplastia,Eudora,Batom,